Name,Team,Position,Age,MP,Starts,Min,goals,assists,shots,shots_on_target,SoT%,Sh/90,SoT/90,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Pablo Hernández,Leeds,MF,34,36,27,2497,9,9,74,25,33.8,2.67,0.9,0,0,6,0,0.32,0.32,0.65,0.32,0.65,Matches
Mateusz Klich,Leeds,MF,29,45,45,3798,6,5,76,24,31.6,1.8,0.57,2,3,8,0,0.14,0.12,0.26,0.09,0.21,Matches
Jack Harrison,Leeds,MF,22,46,45,3794,6,8,78,24,30.8,1.85,0.57,0,0,1,0,0.14,0.19,0.33,0.14,0.33,Matches
Hélder Costa,Leeds,MF,25,43,33,2954,4,5,77,19,29.7,1.95,0.58,0,0,3,0,0.12,0.15,0.27,0.12,0.27,Matches
Tom Cairney,Fulham,MF,28,39,38,"3,263",8,3,43,18,41.9,1.19,0.5,0,0,5,0,0.22,0.08,0.3,0.22,0.3,Matches
Ivan Cavaleiro,Fulham,MF,25,43,36,"3,025",6,7,58,18,31,1.73,0.54,0,0,4,0,0.18,0.21,0.39,0.18,0.39,Matches
Aboubakar Kamara,Fulham,MF,24,25,8,919,4,4,25,11,44,2.45,1.08,0,0,2,0,0.39,0.39,0.78,0.39,0.78,Matches
Anthony Knockaert,Fulham,MF,27,42,32,"2,836",3,4,79,28,35.4,2.51,0.89,0,0,6,0,0.1,0.13,0.22,0.1,0.22,Matches
Matheus Pereira,West Brom,MF,23,42,38,"3,365",8,17,111,35,31.5,2.97,0.94,0,0,5,0,0.21,0.45,0.67,0.21,0.67,Matches
Matt Phillips,West Brom,MF,28,39,30,"2,417",7,6,62,17,27.4,2.31,0.63,0,0,5,0,0.26,0.22,0.48,0.26,0.48,Matches
Jake Livermore,West Brom,MF,29,45,43,"3,741",3,4,55,13,23.6,1.32,0.31,0,0,10,0,0.07,0.1,0.17,0.07,0.17,Matches
Kamil Grosicki,West Brom,MF,31,14,4,499,1,3,16,7,43.8,2.89,1.26,0.06,0,0,0,0.18,0.54,0.72,0.18,0.72,Matches
